Var1_1,Var1_2,s
0.2639239,-1.321715,CC(C)CCOC(CCCCC)=O
0.1891188,-1.405899,CC(C)CCOCC(OCC=C)=O
0.1915677,-1.279327,CC(C)CCOCC1=CC=CC=C1
0.2525021,-1.272,CC(C)CCOCCC1=CC=CC=C1
0.245937,-1.215237,CC(C)COC(C(C)C)=O
0.3452007,-1.240101,CC(C)COC(C1=CC=CC=C1NC)=O
0.2543049,-1.355535,CC(C)COC(CCC)=O
0.4780486,-1.312551,CC(C)COC1=CC2=C(C=C1)C=CC=C2
0.301952,-1.436098,CC(C)COC=O
0.3258567,-1.274994,CC(C)OCCC1=CC=CC=C1
0.2479609,-1.403166,CC(C)OCCO
0.1470369,-1.013655,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O
0.2781637,-1.154071,CC(C)[C@@H]1CC[C@@H](C)[C@]23[C@@]1([H])[C@@]2([H])C(C)=CC3
0.01083077,-0.8732157,CC(C)[C@@H]1CC[C@@H](C)[C@]23[C@@]1([H])[C@@]2([H])[C@@](C)(O)CC3
-0.03342433,-0.8855827,CC(C)[C@@H]1CC[C@@H](C)[C@]23[C@@]1([H])[C@@]2([H])[C@](C)(O)CC3
0.09466901,-1.246826,CC(C)[C@@H]1CC[C@]2(C)[C@]3([H])[C@@]1([H])[C@H]2C(C)=CC3
0.3635832,-1.201848,CC(C)[C@@H]1[C@@H]2C=C[C@H]([C@H]1C(OCC)=O)C2
0.3919004,-1.425404,CC(C)[C@H](CC[C@@H](C)C1)C1=NO
0.5593967,-1.117609,CC(C)[C@H]1/C=C/[C@@](O)(C)CC/C=C(C)\CC1
0.2763432,-1.317399,CC(C)[C@H]1CC[C@@H](CO)CC1
0.247562,-1.141158,CC(C)[C@H]1CC[C@H](C)C[C@@H]1O
0.2876909,-1.448045,CC(C1(C2(C)C)CC13)(CCC2)CC=C3C
0.5603804,-1.367632,CC(C1(O)CCCC2(C)C)(C)C3CCC12C3
0.5517194,-1.462145,CC(C1)(C)[C@@H]2CCC13C2(CCC=C3C)C
0.2282388,-1.460845,CC(C1)C/C=C/CCCCCCCCCC1=O
0.8484211,-1.251941,CC(C1)CCCCCCCCCCCCC1=O
0.3459477,-1.136411,CC(C1=C(C)C2=CC=CC=C2O1)=O
0.4219854,-1.431768,CC(C1=C)(C)C2CCC1C2
0.3868869,-1.215541,CC(C1=CC(C=CC=N2)=C2C=C1)(C)C
0.3994405,-1.277665,CC(C1=CC=C(C)C=C1)=C
0.3747448,-1.361414,CC(C1=CC=C(C)CC1)=C
0.302331,-1.260243,CC(C1=CC=C(OC(C)=O)C=C1)(C)C
0.3400942,-1.305384,CC(C1=CC=C(OC2)C(OCC2=O)=C1)(C)C
0.2850653,-1.279904,CC(C1=CC=C2C(CCCC2)=C1)=O
0.4068492,-1.298815,CC(C1=CC=CC2=C1C=CC=C2)=O
0.2817974,-1.252881,CC(C1=CC=CC2=C1N=CC=C2)CC
0.2334668,-1.250392,CC(C1=CC=CO1)=O
0.2398159,-1.215562,CC(C1=CN=CC=N1)=O
0.5392836,-1.352984,CC(C1C(/C=C/C)=O)(C)CCCC1=C
0.3461404,-1.315761,CC(C1C(OC)=O)(C)CCCC1=C
0.7734377,-1.289648,CC(C1C)(C)C2=C(C1=O)C=CC=C2
0.2546401,-1.342479,CC(C1CC=C(C)C(OC(C)=O)C1)=C
0.2989052,-1.248549,CC(C1CCC(C)(O)C=C1)=C
0.3914601,-1.376893,CC(C1CCC(C)C(O)C1)=C
0.3428873,-1.349776,CC(C1CCC(C)C(OC(C)=O)C1)=C
0.3444914,-1.370647,CC(C1CCC(O)(C)CC1)=C
0.3320533,-1.3894,CC(C1CCC2C)(C)C3C(C)=CCC12C3
0.1441851,-1.168696,CC(C1CCC2C1)(C)C2COC(C)=O
0.2517917,-1.313406,CC(C1CCCC/C=C\C1)=O
0.430771,-1.312144,CC(C1CCCCC)CCC1=O
0.1406189,-1.297258,CC(C1CCCCCCCCCCC1)=O
0.4892566,-1.350628,CC(C=C)(O)CC/C=C(C)\CC
0.5126688,-1.339601,CC(C=C)(O)CCC=C(C)C
0.4171647,-1.415458,CC(C=C)(O)CCCCC
0.5739867,-1.328908,CC(C=C)(OC(/C=C/C1=CC=CC=C1)=O)CCC=C(C)C
0.2679695,-1.20882,CC(C=C)(OC(C)=O)CCC=C(CC)C
0.2974487,-1.238604,CC(C=C)(OC(C)=O)CCCC(C)C
0.3541765,-1.203955,CC(C=C)(OC(C1=CC=CC=C1)=O)CCC=C(C)C
0.2733403,-1.192141,CC(C=C)(OC(CCC)=O)CCC=C(C)C
0.358795,-1.315512,CC(C=C)=CCC=C(C)C
0.3545698,-1.314099,CC(C=C)=CCCC(C)(O)C
0.2475508,-1.222585,CC(C=C)=CCCC(OC(C)=O)(C)C
0.279013,-1.284977,CC(C=C)CCCC(C)(C)OC(C)=O
0.1402829,-1.24967,CC(C=C1)=CC=C1/C=C(C=O)\CCCCC
0.2202047,-1.283268,CC(C=CC1=CC=CC=C1)=O
0.5573887,-1.324496,CC(C=CC=C(C)CC)(C)O
0.2073889,-1.292949,CC(C=CCC1(C)C)=C1C=O
0.2861516,-1.176136,CC(C=CNC(C=CC=C1)=C1C(OC)=O)CCCC(O)(C)C
0.4329061,-1.267638,CC(C=O)C1=CC=CC=C1
0.3104517,-1.306619,CC(C=O)C1CCC=CC1
0.3238544,-1.253523,CC(C=O)CC1=CC=C2C(OCO2)=C1
0.522907,-1.385201,CC(C=O)CCC=C(C)C
0.4797817,-1.36467,CC(C=O)CCCC(OC)(C)C
0.122635,-1.409775,CC(CC(C)=C1)(C)CC1=O
0.3999225,-1.154044,CC(CC(C)=O)(C)C1=CC=CC=C1
0.3219104,-1.371185,CC(CC(C)CC=O)(C)C
0.07469664,-1.345056,CC(CC(C)O)(O)C
0.36503,-1.261139,CC(CC(CC(C)C)=O)C
0.5037869,-1.36311,CC(CC(CC(C)C)O)C
0.08897176,-1.510356,CC(CC(CC)=C1C)(CC)CC1=O
0.4075992,-1.274107,CC(CC(CC)=NO)CC
0.332243,-1.302816,CC(CC(CC1=CC=CC=C1)O)C
0.3939524,-1.430937,CC(CC(CCO)C)(C)C
0.3716038,-1.173405,CC(CC(OC(C(C)C)=O)C)=C
0.3485086,-1.162969,CC(CC(OC(C)=O)C)(C)C1=CC=CC=C1
0.1430872,-1.511737,CC(CC(OC(C)=O)C1)CC1(C)C
0.4197025,-1.344139,CC(CC(OC)=O)CCC=C(C)C
0.517011,-1.32142,CC(CC)(O)CCCC(C)C
0.3308741,-1.427694,CC(CC)C(OCC/C=C\CC)=O
0.1895109,-1.266403,CC(CC)C1=C(OC)N=CC=N1
0.1080443,-1.341357,CC(CC1)(C)C(CC=CC)=C(C)C1=O
0.575431,-1.505772,CC(CC1)(C)C2=CC(CC)=C(C=O)C=C2C1(C)C
0.1889621,-1.450919,CC(CC1)=C(C/C=C\CC)C1=O
0.406988,-1.387339,CC(CC1)=C(CCCCC)C1=O
0.2770279,-1.369336,CC(CC1)=C(O)C1=O
0.2867103,-1.361659,CC(CC1)=C(OCCCCC)C1=O
0.5534498,-1.312738,CC(CC1)=CC[C@]12C(CCCC2(C)C)=C
0.4380276,-1.367897,CC(CC1)=C[C@@]2([H])[C@@]1(C(CCCC2(C)C)=C)[H]
0.1603422,-1.331902,CC(CC1=CC=CC=C1)O
0.5690203,-1.21949,CC(CC1=O)(C)C(C(C)=C1)=CC=CC
0.3514053,-1.100831,CC(CC1=O)(C)C(C(C)=C1)=O
0.2284791,-1.138831,CC(CC1=O)(C)C(C(OCC)=C)C(C1)(C)C
0.5295719,-1.317367,CC(CC1=O)(CCCC2(C)C)C32C(C1C)C3
0.4472192,-1.295185,CC(CC=C(C)C)(C=O)C
0.3979272,-1.280648,CC(CC=O)C1=CC=CC=C1
0.4174612,-1.250336,CC(CC=O)CCC1=CC=CC=C1
0.6253057,-1.39164,CC(CCC(C)=CC=O)=C(C)C
0.452922,-1.326056,CC(CCC(C)=O)C
0.4134958,-1.220217,CC(CCC(OCC)=O)=O
0.2289141,-1.217975,CC(CCC1=CC=C2C(OCO2)=C1)=O
0.2602207,-1.260033,CC(CCC1=CC=CC=C1)=O
0.2767628,-1.303114,CC(CCC1C(C)C)=CC1=O
0.3868818,-1.257686,CC(CCC=C(C)C)=CC(O)=O
0.1928125,-1.271175,CC(CCC=C(C)C)=CC(OC)=O
0.1437019,-1.395687,CC(CCC=C(C)C)=CCCC(C)=CCOC(C)=O
0.5444977,-1.158969,CC(CCC=C(C)C)=CCCC1=CC=NC=C1
0.3909576,-1.25757,CC(CCC=C(C)C)=CCCC=O
0.4696124,-1.261905,CC(CCC=C(C)C)=CCS
0.2545749,-1.213887,CC(CCC=C(C)C)CCOC(C=C(C)C)=O
0.4279175,-1.362427,CC(CCC=C(CC)C)=CC#N
